"filename", "language", "Dart", "comment", "blank", "total"
"/Users/ddlugosz/Desktop/prywata/Primus/lib/view_models/login_view_model.dart", "Dart", 30, 1, 7, 38
"/Users/ddlugosz/Desktop/prywata/Primus/lib/view_models/search_view_model.dart", "Dart", 25, 0, 7, 32
"/Users/ddlugosz/Desktop/prywata/Primus/lib/view_models/sign_up_view_model.dart", "Dart", 70, 0, 10, 80
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/again_learn_flashcard.dart", "Dart", 30, 0, 4, 34
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/author_widget.dart", "Dart", 41, 0, 3, 44
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/bottom_dialog_add.dart", "Dart", 67, 0, 4, 71
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/card_flashcard.dart", "Dart", 104, 0, 7, 111
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/create_flashcard_widget.dart", "Dart", 31, 0, 5, 36
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/empty_widget.dart", "Dart", 13, 0, 3, 16
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/error_widget.dart", "Dart", 37, 0, 4, 41
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/flascard_learn/empty_words.dart", "Dart", 43, 0, 4, 47
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/flascard_learn/swiper_flascard.dart", "Dart", 92, 6, 6, 104
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/flip_card/flip_flashcard.dart", "Dart", 67, 0, 9, 76
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/flip_card/front_card.dart", "Dart", 58, 0, 5, 63
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/flip_card/reverse_card.dart", "Dart", 63, 0, 5, 68
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/go_to_learn.dart", "Dart", 43, 0, 4, 47
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/loading_widget.dart", "Dart", 42, 0, 4, 46
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/swiper_tinder/swiper_empty.dart", "Dart", 36, 0, 3, 39
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/swiper_tinder/swiper_tinder.dart", "Dart", 34, 0, 4, 38
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/to_learn_list/to_learn_home_list.dart", "Dart", 33, 1, 3, 37
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/to_learn_list/to_learn_item.dart", "Dart", 78, 0, 5, 83
"/Users/ddlugosz/Desktop/prywata/Primus/lib/widgets/to_learn_list/to_learn_wrapper.dart", "Dart", 29, 0, 5, 34
"Total", "-", 3712, 55, 502, 4269
